# path=square5
t,leg,leg_type,true_x,true_y,true_yaw,loc_x,loc_y,loc_yaw,glob_x,glob_y,glob_yaw,odom_x,odom_y,odom_yaw,cum_dist,cum_rot
1785541195.642,0,orient,0.0000,0.0000,0.00000,-0.0000,0.0000,-0.00000,nan,nan,nan,-0.0000,0.0000,-0.00000,0.0000,0.00000
1785541195.892,0,orient,0.0000,-0.0008,0.04090,0.0000,0.0000,0.03221,nan,nan,nan,0.0000,0.0000,0.09900,0.0008,0.04090
1785541196.142,0,orient,0.0000,-0.0039,0.09278,0.0000,0.0000,0.09063,nan,nan,nan,0.0000,0.0000,0.21900,0.0039,0.09278
1785541196.392,0,orient,0.0000,-0.0098,0.14808,0.0000,0.0000,0.13965,nan,nan,nan,0.0000,0.0000,0.34900,0.0098,0.14808
1785541196.642,0,orient,0.0000,-0.0172,0.19817,0.0000,0.0000,0.19609,nan,nan,nan,0.0000,0.0000,0.46900,0.0172,0.19817
1785541196.892,0,orient,0.0000,-0.0243,0.25116,0.0000,0.0000,0.24314,nan,nan,nan,0.0000,0.0000,0.59900,0.0243,0.25116
1785541197.142,0,orient,0.0000,-0.0295,0.29812,0.0000,0.0000,0.29620,nan,nan,nan,0.0000,0.0000,0.71900,0.0295,0.29812
1785541197.392,0,orient,0.0000,-0.0336,0.34660,0.0000,0.0000,0.33931,nan,nan,nan,0.0000,0.0000,0.84900,0.0336,0.34660
1785541197.642,0,orient,0.0000,-0.0358,0.38897,0.0000,0.0000,0.38725,nan,nan,nan,0.0000,0.0000,0.96900,0.0358,0.38897
1785541197.892,0,orient,0.0000,-0.0365,0.43222,0.0000,0.0000,0.42573,nan,nan,nan,0.0000,0.0000,1.09900,0.0365,0.43222
1785541198.142,0,orient,0.0000,-0.0365,0.47267,0.0000,0.0000,0.47093,nan,nan,nan,0.0000,0.0000,1.21900,0.0365,0.47267
1785541198.392,0,orient,0.0000,-0.0365,0.51985,0.0000,0.0000,0.51235,nan,nan,nan,0.0000,0.0000,1.34900,0.0365,0.51985
1785541198.642,0,orient,0.0000,-0.0365,0.56664,0.0000,0.0000,0.56462,nan,nan,nan,0.0000,0.0000,1.46900,0.0365,0.56664
1785541198.892,0,orient,0.0000,-0.0365,0.62104,0.0000,0.0000,0.61241,nan,nan,nan,0.0000,0.0000,1.59900,0.0365,0.62104
1785541199.142,0,orient,0.0000,-0.0365,0.67487,0.0000,0.0000,0.67255,nan,nan,nan,0.0000,0.0000,1.71900,0.0365,0.67487
1785541199.392,0,orient,0.0000,-0.0365,0.73734,0.0000,0.0000,0.72744,nan,nan,nan,0.0000,0.0000,1.84900,0.0365,0.73734
1785541199.642,0,orient,0.0000,-0.0366,0.79819,0.0000,0.0000,0.79569,nan,nan,nan,0.0000,0.0000,1.96900,0.0366,0.79819
1785541199.892,0,orient,0.0000,-0.0367,0.86334,0.0000,0.0000,0.85312,nan,nan,nan,0.0000,0.0000,2.09900,0.0367,0.86334
1785541200.142,0,orient,0.0000,-0.0367,0.92665,0.0000,0.0000,0.92394,nan,nan,nan,0.0000,0.0000,2.21900,0.0367,0.92665
