# path=square5
t,leg,leg_type,true_x,true_y,true_yaw,loc_x,loc_y,loc_yaw,glob_x,glob_y,glob_yaw,odom_x,odom_y,odom_yaw,cum_dist,cum_rot
1785541430.643,0,orient,0.0000,0.0000,0.00000,-0.0000,0.0000,0.00000,nan,nan,nan,-0.0000,0.0000,-0.00000,0.0000,0.00000
1785541430.893,0,orient,0.0000,0.0000,0.00000,-0.0000,0.0000,0.00000,nan,nan,nan,-0.0000,0.0000,-0.00000,0.0000,0.00000
1785541431.143,0,orient,0.0000,0.0000,0.00000,-0.0000,0.0000,0.00000,nan,nan,nan,-0.0000,0.0000,-0.00000,0.0000,0.00000
1785541431.393,0,orient,0.0000,0.0000,0.00000,-0.0000,0.0000,0.00000,nan,nan,nan,-0.0000,0.0000,-0.00000,0.0000,0.00000
1785541431.643,0,orient,0.0000,-0.0007,0.03829,0.0000,0.0000,0.03394,nan,nan,nan,0.0000,0.0000,0.09300,0.0007,0.03829
1785541431.893,0,orient,0.0000,-0.0040,0.09450,0.0000,0.0000,0.09020,nan,nan,nan,0.0000,0.0000,0.22300,0.0040,0.09450
1785541432.143,0,orient,0.0000,-0.0094,0.14555,0.0000,0.0000,0.14134,nan,nan,nan,0.0000,0.0000,0.34300,0.0094,0.14555
1785541432.393,0,orient,0.0000,-0.0174,0.19983,0.0000,0.0000,0.19568,nan,nan,nan,0.0000,0.0000,0.47300,0.0174,0.19983
1785541432.643,0,orient,0.0000,-0.0240,0.24876,0.0000,0.0000,0.24475,nan,nan,nan,0.0000,0.0000,0.59300,0.0240,0.24876
1785541432.893,0,orient,0.0000,-0.0297,0.29965,0.0000,0.0000,0.29582,nan,nan,nan,0.0000,0.0000,0.72300,0.0297,0.29965
1785541433.143,0,orient,0.0000,-0.0334,0.34442,0.0000,0.0000,0.34077,nan,nan,nan,0.0000,0.0000,0.84300,0.0334,0.34442
1785541433.393,0,orient,0.0000,-0.0358,0.39034,0.0000,0.0000,0.38691,nan,nan,nan,0.0000,0.0000,0.97300,0.0358,0.39034
1785541433.643,0,orient,0.0000,-0.0365,0.43027,0.0000,0.0000,0.42703,nan,nan,nan,0.0000,0.0000,1.09300,0.0365,0.43027
1785541433.893,0,orient,0.0000,-0.0365,0.47407,0.0000,0.0000,0.47058,nan,nan,nan,0.0000,0.0000,1.22300,0.0365,0.47407
1785541434.143,0,orient,0.0000,-0.0365,0.51759,0.0000,0.0000,0.51385,nan,nan,nan,0.0000,0.0000,1.34300,0.0365,0.51759
1785541434.393,0,orient,0.0000,-0.0365,0.56825,0.0000,0.0000,0.56422,nan,nan,nan,0.0000,0.0000,1.47300,0.0365,0.56825
1785541434.643,0,orient,0.0000,-0.0365,0.61844,0.0000,0.0000,0.61413,nan,nan,nan,0.0000,0.0000,1.59300,0.0365,0.61844
1785541434.893,0,orient,0.0000,-0.0365,0.67673,0.0000,0.0000,0.67209,nan,nan,nan,0.0000,0.0000,1.72300,0.0365,0.67673
1785541435.143,0,orient,0.0000,-0.0365,0.73436,0.0000,0.0000,0.72941,nan,nan,nan,0.0000,0.0000,1.84300,0.0365,0.73436
1785541435.393,0,orient,0.0000,-0.0366,0.80018,0.0000,0.0000,0.79519,nan,nan,nan,0.0000,0.0000,1.97300,0.0366,0.80018
1785541435.643,0,orient,0.0000,-0.0367,0.86026,0.0000,0.0000,0.85516,nan,nan,nan,0.0000,0.0000,2.09300,0.0367,0.86026
1785541435.893,0,orient,0.0000,-0.0367,0.92882,0.0000,0.0000,0.92340,nan,nan,nan,0.0000,0.0000,2.22300,0.0367,0.92882
1785541436.143,0,orient,0.0000,-0.0367,0.99585,0.0000,-0.0000,0.99012,nan,nan,nan,0.0000,0.0000,2.34300,0.0367,0.99585
1785541436.393,0,orient,0.0000,-0.0367,1.07285,0.0000,-0.0000,1.06676,nan,nan,nan,0.0000,0.0000,2.47300,0.0367,1.07285
1785541436.643,0,orient,0.0000,-0.0367,1.14836,0.0000,-0.0000,1.14190,nan,nan,nan,0.0000,-0.0000,2.59300,0.0367,1.14836
1785541436.893,0,orient,0.0000,-0.0367,1.22664,0.0000,-0.0000,1.22664,nan,nan,nan,0.0000,-0.0000,2.71300,0.0367,1.22664
1785541437.143,0,orient,0.0000,-0.0367,1.30751,0.0000,-0.0000,1.30144,nan,nan,nan,0.0000,-0.0000,2.84300,0.0367,1.30751
1785541437.393,0,orient,0.0000,-0.0367,1.37887,0.0000,-0.0000,1.37887,nan,nan,nan,0.0000,-0.0000,2.96300,0.0368,1.37887
1785541437.643,0,orient,0.0000,-0.0367,1.45363,-0.0000,-0.0000,1.44795,nan,nan,nan,0.0000,-0.0000,3.09300,0.0368,1.45363
1785541437.893,0,orient,0.0000,-0.0366,1.52117,-0.0000,-0.0000,1.52117,nan,nan,nan,0.0000,-0.0000,-3.07019,0.0368,1.52117
1785541438.143,1,straight,0.0000,-0.0366,1.58325,-0.0000,-0.0000,1.58325,nan,nan,nan,0.0000,-0.0000,-2.95969,0.0369,1.58325
1785541438.393,1,straight,-0.0004,0.0033,1.58325,0.0001,0.0380,1.58325,nan,nan,nan,-0.0392,-0.0072,-2.95969,0.0767,1.58325
1785541438.643,1,straight,-0.0018,0.1166,1.58325,-0.0011,0.1417,1.58325,nan,nan,nan,-0.1507,-0.0277,-2.95969,0.1901,1.58325
1785541438.893,1,straight,-0.0031,0.2246,1.58325,-0.0027,0.2587,1.58325,nan,nan,nan,-0.2569,-0.0473,-2.95969,0.2981,1.58325
1785541439.143,1,straight,-0.0046,0.3416,1.58325,-0.0041,0.3667,1.58325,nan,nan,nan,-0.3720,-0.0684,-2.95969,0.4151,1.58325
1785541439.393,1,straight,-0.0059,0.4496,1.58325,-0.0055,0.4838,1.58325,nan,nan,nan,-0.4782,-0.0880,-2.95969,0.5231,1.58325
1785541439.643,1,straight,-0.0074,0.5666,1.58325,-0.0069,0.5918,1.58325,nan,nan,nan,-0.5933,-0.1091,-2.95969,0.6401,1.58325
1785541439.893,1,straight,-0.0087,0.6746,1.58325,-0.0084,0.7088,1.58325,nan,nan,nan,-0.6995,-0.1287,-2.95969,0.7481,1.58325
1785541440.143,1,straight,-0.0102,0.7916,1.58325,-0.0098,0.8167,1.58325,nan,nan,nan,-0.8146,-0.1498,-2.95969,0.8651,1.58325
